id	title	author	category	lyrics
LS_21	PADA-MU ALLAH KU PUJI	LS	Lagu Sion	"Pada-Mu Allah ku puji
yang b’rikan berkat dan kasih
S’mesta alam pujilah t’rus
Bapa, Anak dan Roh Kudus"
LS_22	HAI JIWAKU BANGUN SEG'RA	LS	Lagu Sion	"Hai jiwaku bangun seg’ra
Maju dengan b’rani
Kalahkan cobaan dunia
Hidup kekal dib’ri

Tuhan Allah maha kuasa
Memanggil padamu
Ia memb’rikan pahala
Atas pengabdianmu

Malak surga menyaksikan
Imanmu yang teguh
Ke tempat yang kekal itu
Tujukan jalanmu

Ya, Jurus’lamat Tuhanku
Tuntunlah hidupku
Mahkota kemenanganku
Ku-s’rahkan pada-Mu"
LS_23	ALLAH YANG ABADI	LS	Lagu Sion	"Allah yang abadi dan bijaksana
Yang tak terhampiri terang takhta-Nya
Teramat mulia sejak dulu kala
Nama-Nya kupuja, besar kuasa-Nya

Engkau berkuasa, bersinar tetap
Berkarya, mencipta tak pernah senyap
Keadilan Tuhan tinggi menjulang
Awan-Mu sarat dengan kasih sayang

Semuanya Engkau beri kehidupan
Hidup di dalam Roh dan Kebenaran
Kami tumbuh bagai pohon yang lebat
Yang akan layu, namun Engkau kuat

Maha besar Bapa yang sungguh mulia
Malaikat menyembah tunduk memuja
Ya Tuhan, bukalah mata hatiku
Untuk memuji kemuliaan-Mu"
LS_24	DENGAR LONCENG BERDENTANG	LS	Lagu Sion	"Dengarlah lonceng berdentang
Seg’nap alam puji Dia
Nyanyikanlah dengan riang
Seg’nap alam puji Dia
Kini saatnya bersuka
Sobat, teman datanglah
Nyanyilah dengan gembira
Seg’nap alam puji Dia

Ku rindu rumah di surga
Seg’nap alam puji Dia
Di sana tiada derita
Seg’nap alam puji Dia
Yesuslah Saudara kita
Jadi satu semua
Yang dilahirkan Maria
Seg’nap alam puji Dia

Bila k’lak musim berganti
Seg’nap alam puji Dia
Membawa damai di bumi
Seg’nap alam puji Dia
B’ritakan kabar s’lamat-Nya
Pada insan di dunia
Dengarkanlah lonceng surga
Seg’nap alam puji Dia"
LS_25	PUJI TUHAN YANG MULIA	LS	Lagu Sion	"Puji Tuhan yang mulia, Haleluya
Hai orang saleh semua, Haleluya
Malaikat yang di surga, Haleluya
Mengagungkan kasih-Nya, Haleluya

Di surga dan di dunia, Haleluya
C’ritakan “Ajaib Allah”, Haleluya
Dari zaman ke zaman, Haleluya
S’lamanya puji Tuhan, Haleluya

Pujilah rahmat Tuhan, Haleluya
Yang s’lalu p’lihara, Haleluya
Yang mengutus Putra-Nya, Haleluya
Untuk s’lamatkan kita, Haleluya"
LS_26	PUJI TUHAN HAI MANUSIA	LS	Lagu Sion	"Puji Tuhan hai manusia,
Bersama malaikat-Nya
Surya dan bulan bersorak
Pujilah sang Pencipta
Puji Allah yang bersabda
Jagad patuh pada-Nya
Hukum Allah berkuasa
Mengatur ciptaan-Nya

Puji Tuhan maha mulia
Janji dipenuhi-Nya
Diberi-Nya kemenangan
Pada orang yang setia
Maut dan dosa dikalahkan
Umat Allah s’lamatlah
Surga dan seisi dunia
Sorak puji Nama-Nya

Sembah hormat dan pujian
Kepada-Mu ya Tuhan
Tua muda memuji-Mu
Dengan lagu yang merdu
Malaikat surga memuji
Kami ikut bernyanyi
Menyembah di hadirat-Mu
Bumi pun memuji-Mu"
LS_27	MARI UMAT ALLAH	LS	Lagu Sion	"Mari umat Allah
Nyanyi dan puji Dia
Tinggikan panji salib-Nya
Kristuslah sang Raja

Sorak puji, Sorak puji Tuhan

Dengan suara merdu
bagai ombak mend’ru
Dengan Mazmur dan pujian
Agungkanlah Tuhan

Dengan m’laikat surga
Orang saleh serta
Mengungkapkan sukacita
Bagai harum dupa

Sepanjang hidupmu
Menyanyilah s’lalu
Setiap pagi dan petang
Baik susah dan senang

Puji Dia Raja
Tuhan yang bertakhta
Bapa, Anak dan Roh Suci
Allah yang abadi"
LS_28	KAMI MAU LIHAT YESUS JURUSELAMAT	LS	Lagu Sion	"Kami mau lihat Yesus Jurus’lamat
Kar’na bayang hidup kami singkat
Kami mau lihat Yesus yang teguhkan
Iman kami dalam pergumulan

Kami mau lihat Yesus Batu Karang
Tempat s’lamat berdiri sekarang
Baik saat hidup atau maut menjelang
Tetap wajah-Nya yang kami pandang

Kami mau lihat Yesus Terang Dunia
Yang kami rindukan sejak lama
Lenyaplah s’gala daya tarik dunia
Kami tak keluh, Yesus gantinya

Kami mau lihat Yesus maha kuasa
Sukacita dan kekuatan dib’ri
Yesus t’lah mati, bangkit dan naik surga
Seg’ra kembali s’lamatkan kita"
LS_29	PUJI ALLAH YANG BERTAKHTA	LS	Lagu Sion	"Puji Allah yang bertakhta
Tuhan alam semesta
Mahakuasa, maha kasih
Jurus’lamat insani
Jiwaku disegarkan-Nya
Dan  kebimbangan lenyaplah
Puji Allah yang mulia

Allah yang maha kuasa
Yang memb’rikan sentosa
Dari pagi hingga senja
Tuhan s’lalu menjaga
Di dalam kerajaan-Nya
Adil dan  benar hikmat-Nya
Puji Allah yang mulia

Tuhan selamanya dekat
Yang mencurahkan berkat
Dalam s’gala kesusahan
Kedamaian dib’rikan
Tangan-Nya yang berkasihan
Memimpinku s’panjang jalan
Pujilah Allah yang mulia

S’panjang jalan kehidupan
Ku akan puji Tuhan
Agar didengar semua
puji syukur pada-Nya
Bersukalah pada Tuhan
Jiwa ragaku s’kalian
Puji Allah yang mulia"
LS_30	KUDUSLAH NAMA TUHAN	LS	Lagu Sion	"Kuduslah nama Tuhan
Kamu puji dan masyhurkan
Isi dunia sujudlah
Di hadapan-Mu kusembah
Besarlah kuasa-Mu
Kekallah k’rajaan-Mu

Nyanyikan lagu suci
Malaikat surga memuji
Kerubium dan serafim
Pujian s’lalu terkirim
Dengan kidung serasi
Tuhan yang maha suci

Allah Bapa surgawi, Allah
Anak dan Roh Suci
Dalam keesaan-Mu
Engkau utuh bersatu
Kusujud di kaki-Mu
Ajaiblah kuasa-Mu"
LS_31	C’RITAKAN KEAGUNGAN TUHANMU	LS	Lagu Sion	"C’ritakan keagungan Tuhanmu
Berkat-berkat-Nya berkelimpahan
Janji yang indah dalam sabda-Nya
Jiwaku senang di dalam Tuhan

C’ritakan keagungan nama-Nya
Masyhurkanlah ciptaan tangan-Nya
Rahmat Tuhan kekal selamanya
Maha suci dan indah nama-Nya

C’ritakan kebesaran kuasa-Nya
S’luruh dunia tunduk kepada-Nya
Pasti tamat s’gala kejahatan
Yang ikut Tuhan ‘kan dis’lamatkan

C’ritakan kemuliaan firman-Nya
Teguh janji-Nya, pasti rahmat-Nya
C’ritakan keagungan Tuhanmu
Dan kasih-Nya sampai kesudahan"
