segmentId	songId	label	text	order
LSEB_34_s0	LSEB_34	Bait 1	Semua yang bernafas \nmari puji Tuhan \nKhalik yang t'lah bangkit \ndengan kem'nangan \nYang ciptakan kami, \nPelindung setiawan \nYang memimpin kami \nkekal abadi \nPanji-Nya kibarkan, \nterang-Nya di depan \nTiang api terang \ndi malam hari \nSehingga bayang \ndan keg'lapan menepi \nSaat terang surga \nmakin bersinar	
LSEB_34_s1	LSEB_34	Bait 2	Bintang di angkasa \nmenurut p'rintah-Nya \nMatahari tetap t'rang bercahaya \nSungai, mata air, \ngunung serta lembah \nSamud'ra raya \nnyatakan kuasa-Nya \nKami menyanyi \ndengan p'nuh kesukaan \nDengan sukacita \nsembahlah Dia \nHingga semua mahluk \nbersama bersyukur \nMemuji, hosanna, \nbagi sang Raja	
LSEB_35_s0	LSEB_35	Bait 1	Yesus bagaikan Gembala, \nKami ini domba-Nya \nDia pimpin dan menjaga, \nS'lama kami di dunia \nTuhan Yesus, Tuhan Yesus, \nKami jadi milik-Mu \nTuhan Yesus, Tuhan Yesus, \nKami jadi milik-Mu	
LSEB_35_s1	LSEB_35	Bait 2	Ya Gembala pimpin kami, \nPada jalan yang lurus \nAgar kami jangan lari, \nDari kandang yang kudus \nTuhan Yesus, Tuhan Yesus, \nDengarlah doa kami \nTuhan Yesus, Tuhan Yesus, \nDengarlah doa kami	
LSEB_35_s2	LSEB_35	Bait 3	Engkau sudah janji pula, \nMenjemput yang tersesat \nTuhan, Engkau maha murah, \nMenolong orang penat \nTuhan Yesus, Tuhan Yesus, \nKami datang pada-Mu \nTuhan Yesus, Tuhan Yesus, \nKami datang pada-Mu	
LSEB_36_s0	LSEB_36	Bait 1	Menyanyilah hai jiwaku, \nPujilah Penciptamu \nKasih teguh setiap hari, \nRahmat surga abadi \nTuhan dengan seruanku, \nMalaikat melindungiku \nDinaunginya aku	
LSEB_36_s1	LSEB_36	Bait 2	Tuhan dekat pada insan, Yan mencari wajah-Nya \nYang lemah dib'ri kekuatan, Rahmat-Nya pun melimpah \nWalau prahara menimpa, Duka berganti gembira \nBerkat-Nya tak terhingga,	
LSEB_36_s2	LSEB_36	Bait 3	Tuhan hadapkan wajah-Nya, Dan b'rikan kedamaian \nKekallah kasih-Nya, Kepada yang beriman \nTuhan tak akan tinggalkan, Umat-Nya yang setiawan \nKekal kerajaan-Nya	
LSEB_37_s0	LSEB_37	Bait 1	Waktu pagi yang Tuhanku, Dengarlah suaraku \nMenyampaikan doa teduh, Dan pandang wajah-Mu	
LSEB_37_s1	LSEB_37	Bait 2	Ke hadirat-Mu ya Allah, Yesus Kristus t'lah naik \nMenghadapkan permohonan, Segala orang baik	
LSEB_37_s2	LSEB_37	Bait 3	Pimpin aku ya Roh Allah, Dalam kebenaran \nLuruskan dan nyatakanlah, S'gala kewajiban	
LSEB_37_s3	LSEB_37	Bait 4	Yang kasih dan takut Tuhan, Beroleh rahmat-Nya \nDib'rikan-Nya perlindungan, Dalam pimpinan-Nya	
LSEB_38_s0	LSEB_38	Bait 1	Mari puji nama Yesus, Bersama Malaikat \nBawalah mahkota mulia, Dan rajakan Yesus \nBawalah mahkota mulia, Dan rajakan Yesus	
LSEB_38_s1	LSEB_38	Bait 2	Marilah umat tebusan, Yang dipilih Allah \nPuji Dia yang s'lamatkan, Dan rajakan Yesus \nPuji Dia yang s'lamatkan, Dan rajakan Yesus	
LSEB_38_s2	LSEB_38	Bait 3	Segala kaum dan bangsa, Di dalam dunia \nPuji Dia yang mulia, Dan rajakan Yesus \nPuji Dia yang mulia, Dan rajakan Yesus	
LSEB_38_s3	LSEB_38	Bait 4	Dengan malaikat di surga, Kita sembah Yesus \nMemuji Dia di sana, Dan rajakan Yesus \nMemuji Dia di sana. Dan rajakan Yesus	
LSEB_39_s0	LSEB_39	Bait 1	Puji syukur bagi-Nya \nKar'na Allah itu baik \nAnug'rah-Nya abadi \nSetia dan mengasihi	
LSEB_39_s1	LSEB_39	Bait 2	Dengan kuasa sabda-Nya \nDiciptakan-Nya dunia \nAnug'rah-Nya abadi \nSetia dan mengasihi	
LSEB_39_s2	LSEB_39	Bait 3	Yang hidup di p'lihara \nDengan berkat yang limpah \nAnug'rah-Nya abadi \nSetia dan mengasihi	
LSEB_39_s3	LSEB_39	Bait 4	Puji syukur bagi-Nya \nKar'na Allah itu baik \nAnug'rah-Nya abadi \nSetia dan mengasihi	
LSEB_40_s0	LSEB_40	Bait 1	Tuhan pimpinlah aku, Sampai ujung jalanku \nSerta-Mu aku s'lamat, Kasih-Mu memb'ri berkat	
LSEB_40_s1	LSEB_40	Chorus	Pimpin, pimpin, Tuhan pimpinlah aku \nDalam susah dan senang, Tuhan pimpinlah aku	
LSEB_40_s2	LSEB_40	Bait 2	Engkau benteng jiwaku, Aku harap pada-Mu \nKalau aku digoda, Kasih-Mu memb'ri kuasa	
LSEB_40_s3	LSEB_40	Bait 3	Tuhan pimpin aku t'rus, Pada jalan yang lurus \nSampai neg'ri yang kudus, Tempat kulihat Yesus	
LSEB_41_s0	LSEB_41	Bait 1	Sambutlah Sabat Tuhan, Hari yang dinanti \nPagi indah berseri, Ganti malam sepi \nBagai siraman hujan, Ke tanah yang gersang \nDan pohon kehidupan, Di teriknya padang	
LSEB_41_s1	LSEB_41	Bait 2	Tuhan kami membawa, Persembahan ini \nHasil usaha kami, Berkatilah kami \nKami serahkan diri, Dalam kasih suci \nDan dengan rendah hati, Di tuntun Roh Suci	
LSEB_41_s2	LSEB_41	Bait 3	Kami datang pada-Mu, Bawa beban dosa \nSujud di hadirat-Mu, Mohon ampun dosa \nKerja belum selesai, Sedih terasakan \nBanyak berkat terbuang, Tak dimanfaatkan	
LSEB_41_s3	LSEB_41	Bait 4	Di dalam kesusahan, Iman kami teguh \nAgar menjadi suci, Dan kasih pada-Mu \nDi hadapan tahta-Mu, Kami diampuni \nDamai surga abadi, Jadi milik kami.	
LSEB_43_s0	LSEB_43	Bait 1	Apabila malam tiba, \nDan usailah waktu kerja \nSeakan semesta alam \nMengucapkan s'lamat malam	
